num,coordinate
46,"0.041*""tuck"" + 0.029*""bunch"" + 0.022*""trim"" + 0.021*""pay"" + 0.018*""dream"" + 0.017*""full"" + 0.014*""cord"" + 0.013*""accessori"" + 0.013*""rather"" + 0.011*""zero"""
47,"0.071*""everi"" + 0.044*""plain"" + 0.039*""cuter"" + 0.038*""p"" + 0.036*""tan"" + 0.032*""lightweight"" + 0.029*""penni"" + 0.027*""trend"" + 0.027*""weav"" + 0.027*""given"""
48,"0.036*""band"" + 0.029*""surpris"" + 0.023*""pleasantli"" + 0.022*""unusu"" + 0.021*""plu"" + 0.019*""sleep"" + 0.016*""troubl"" + 0.016*""b/c"" + 0.014*""visibl"" + 0.014*""00p"""
49,"0.050*""motif"" + 0.047*""bigger"" + 0.042*""bare"" + 0.035*""comment"" + 0.023*""head"" + 0.021*""happier"" + 0.020*""boob"" + 0.019*""button"" + 0.015*""unbutton"" + 0.012*""could"""
50,"0.058*""stun"" + 0.032*""yesterday"" + 0.031*""stomach"" + 0.031*""1"" + 0.029*""pajama"" + 0.021*""accommod"" + 0.017*""crochet"" + 0.013*""softer"" + 0.013*""tempt"" + 0.012*""balloon"""
51,"0.025*""cup"" + 0.017*""subtl"" + 0.016*""hard"" + 0.015*""c"" + 0.015*""stick"" + 0.014*""ago"" + 0.014*""month"" + 0.013*""chest"" + 0.012*""b"" + 0.011*""size"""
52,"0.071*""suit"" + 0.030*""friend"" + 0.025*""suppos"" + 0.024*""case"" + 0.024*""bath"" + 0.024*""20"" + 0.021*""entir"" + 0.021*""peopl"" + 0.016*""breast"" + 0.014*""die"""
53,"0.047*""spring"" + 0.034*""jacket"" + 0.034*""least"" + 0.032*""leather"" + 0.030*""possibl"" + 0.023*""sloppi"" + 0.019*""necklac"" + 0.015*""per"" + 0.014*""size"" + 0.013*""cuf"""
54,"0.026*""call"" + 0.018*""note"" + 0.017*""brighter"" + 0.014*""reach"" + 0.011*""rate"" + 0.011*""cardi"" + 0.010*""dress"" + 0.010*""top"" + 0.009*""'s"" + 0.009*""intend"""
55,"0.051*""comfi"" + 0.030*""old"" + 0.029*""super"" + 0.026*""fairli"" + 0.026*""loung"" + 0.021*""hous"" + 0.018*""dressier"" + 0.017*""comfort"" + 0.016*""mom"" + 0.016*""great"""
56,"0.048*""sock"" + 0.045*""taken"" + 0.035*""xs/"" + 0.032*""anywher"" + 0.031*""shot"" + 0.029*""mistak"" + 0.028*""robe"" + 0.027*""drawn"" + 0.026*""faux"" + 0.022*""fur"""
57,"0.026*""beach"" + 0.024*""med"" + 0.023*""knew"" + 0.021*""check"" + 0.017*""custom"" + 0.013*""dress"" + 0.012*""lack"" + 0.011*""word"" + 0.011*""will"" + 0.010*""cocktail"""
58,"0.035*""otherwis"" + 0.035*""deal"" + 0.032*""meant"" + 0.025*""flow"" + 0.018*""sparkl"" + 0.018*""doubl"" + 0.016*""appeal"" + 0.014*""breaker"" + 0.014*""properli"" + 0.014*""ador"""
59,"0.054*""gray"" + 0.043*""avail"" + 0.031*""wrap"" + 0.030*""pop"" + 0.025*""billowi"" + 0.024*""recent"" + 0.023*""tone"" + 0.020*""beig"" + 0.018*""origin"" + 0.015*""shini"""
60,"0.049*""slit"" + 0.038*""stay"" + 0.023*""side"" + 0.020*""sleeveless"" + 0.018*""chino"" + 0.015*""attent"" + 0.015*""high"" + 0.014*""other"" + 0.013*""conserv"" + 0.011*""peasant"""
61,"0.039*""cozi"" + 0.030*""prettier"" + 0.028*""tent"" + 0.025*""person"" + 0.024*""pill"" + 0.017*""sweater"" + 0.016*""instantli"" + 0.015*""friday"" + 0.013*""tough"" + 0.012*""even"""
62,"0.035*""hot"" + 0.026*""waistband"" + 0.023*""bum"" + 0.020*""summer"" + 0.019*""bring"" + 0.018*""hole"" + 0.015*""cool"" + 0.014*""nearli"" + 0.014*""day"" + 0.013*""bummer"""
63,"0.047*""xl"" + 0.035*""closet"" + 0.032*""l"" + 0.021*""flimsi"" + 0.020*""idea"" + 0.018*""butt"" + 0.018*""maxi"" + 0.018*""ever"" + 0.016*""14"" + 0.015*""spring/summ"""
64,"0.067*""8"" + 0.057*""10"" + 0.050*""brown"" + 0.050*""weekend"" + 0.049*""armhol"" + 0.049*""12"" + 0.042*""pencil"" + 0.036*""swing"" + 0.032*""pear"" + 0.031*""6"""
65,"0.037*""wash"" + 0.017*""tast"" + 0.017*""twice"" + 0.016*""offer"" + 0.015*""dri"" + 0.014*""shrink"" + 0.013*""width"" + 0.013*""shrunk"" + 0.011*""shower"" + 0.011*""x-small"""
66,"0.028*""sandal"" + 0.019*""100"" + 0.018*""warmer"" + 0.016*""overli"" + 0.013*""chunki"" + 0.012*""weather"" + 0.012*""115lb"" + 0.011*""pro"" + 0.011*""begin"" + 0.011*""colder"""
67,"0.032*""elast"" + 0.023*""swim"" + 0.021*""concern"" + 0.020*""believ"" + 0.015*""in-stor"" + 0.014*""honestli"" + 0.014*""avoid"" + 0.013*""shock"" + 0.012*""jogger"" + 0.012*""sooo"""
68,"0.057*""form"" + 0.053*""snag"" + 0.053*""adjust"" + 0.047*""insid"" + 0.040*""slight"" + 0.036*""opinion"" + 0.036*""reason"" + 0.033*""burgundi"" + 0.032*""fact"" + 0.028*""particular"""
69,"0.048*""jumpsuit"" + 0.042*""sad"" + 0.039*""whole"" + 0.034*""stitch"" + 0.033*""touch"" + 0.031*""middl"" + 0.031*""compar"" + 0.026*""floral"" + 0.024*""wedg"" + 0.024*""darl"""
70,"0.072*""strang"" + 0.044*""bodic"" + 0.039*""lavend"" + 0.036*""poof"" + 0.031*""hei"" + 0.030*""meet"" + 0.029*""fray"" + 0.028*""funni"" + 0.028*""curvier"" + 0.019*""area"""
71,"0.055*""ivori"" + 0.045*""often"" + 0.033*""wast"" + 0.026*""accent"" + 0.023*""smooth"" + 0.019*""steal"" + 0.018*""obsess"" + 0.018*""christma"" + 0.014*""sew"" + 0.013*""blush"""
72,"0.085*""forgiv"" + 0.062*""tank"" + 0.042*""mother"" + 0.031*""step"" + 0.022*""140lb"" + 0.021*""unwear"" + 0.020*""halter"" + 0.020*""element"" + 0.017*""gain"" + 0.016*""launder"""
