num,coordinate
47,"0.268*""bought"" + -0.239*""got"" + -0.197*""waist"" + 0.187*""materi"" + 0.185*""leg"" + -0.183*""tee"" + -0.164*""white"" + -0.162*""like"" + 0.150*""arm"" + -0.147*""look"""
48,"0.311*""got"" + 0.259*""style"" + 0.249*""leg"" + -0.228*""littl"" + 0.214*""design"" + -0.187*""flatter"" + -0.169*""big"" + -0.169*""comfi"" + -0.159*""purchas"" + 0.138*""return"""
49,"-0.361*""tee"" + -0.243*""style"" + 0.218*""black"" + 0.217*""purchas"" + -0.216*""xs"" + 0.183*""petit"" + -0.159*""work"" + 0.146*""jacket"" + 0.133*""big"" + -0.124*""sleev"""
50,"0.253*""purchas"" + 0.232*""'s"" + -0.228*""flatter"" + -0.217*""order"" + 0.195*""arm"" + 0.158*""color"" + -0.147*""littl"" + -0.139*""bought"" + -0.139*""return"" + -0.133*""beauti"""
51,"0.272*""waist"" + 0.268*""bought"" + -0.261*""got"" + -0.253*""purchas"" + -0.151*""flatter"" + -0.150*""like"" + -0.144*""wash"" + -0.140*""cut"" + -0.137*""style"" + 0.137*""pretti"""
52,"0.281*""purchas"" + 0.223*""waist"" + 0.210*""style"" + 0.203*""big"" + -0.199*""length"" + 0.197*""long"" + 0.187*""return"" + -0.185*""feel"" + -0.177*""design"" + 0.167*""tee"""
53,"0.244*""realli"" + -0.209*""super"" + 0.191*""leg"" + 0.191*""soft"" + -0.189*""big"" + 0.181*""tee"" + -0.173*""''"" + -0.159*""got"" + -0.156*""``"" + 0.152*""purchas"""
54,"0.260*""nice"" + 0.228*""super"" + 0.219*""style"" + 0.218*""perfect"" + -0.213*""tee"" + -0.185*""fabric"" + -0.172*""design"" + -0.170*""summer"" + 0.163*""waist"" + -0.148*""medium"""
55,"0.296*""design"" + -0.241*""good"" + -0.220*""soft"" + 0.203*""nice"" + -0.186*""style"" + -0.179*""review"" + -0.173*""fall"" + 0.159*""medium"" + 0.137*""true"" + -0.132*""blous"""
56,"0.338*""much"" + 0.220*""design"" + -0.200*""blous"" + -0.194*""feel"" + 0.169*""tee"" + 0.161*""realli"" + 0.157*""work"" + -0.153*""--"" + -0.141*""leg"" + -0.137*""true"""
57,"0.323*""pretti"" + -0.298*""realli"" + -0.258*""even"" + -0.186*""casual"" + 0.152*""super"" + 0.151*""beauti"" + -0.150*""want"" + -0.143*""person"" + -0.142*""--"" + -0.125*""though"""
58,"0.225*""pretti"" + 0.191*""style"" + 0.190*""tee"" + -0.188*""waist"" + 0.187*""tight"" + -0.179*""xs"" + -0.171*""got"" + -0.166*""blous"" + 0.161*""person"" + -0.147*""wish"""
